Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
2.82,1.5627,0.110815,-0.200715,1.66358,-0.0802148,0.321021,1.66625,0.278886,0.305318,1.64538,0.341739,0.0581674,1.4528,0.362304,-0.213704,
2.85,1.56265,0.11084,-0.200712,1.6634,-0.0802646,0.320999,1.66613,0.278846,0.305379,1.64514,0.341841,0.0581322,1.45225,0.361725,-0.214675,
2.88,1.56262,0.11088,-0.200713,1.6633,-0.0802846,0.321024,1.66598,0.278774,0.305408,1.64504,0.341861,0.0581659,1.45286,0.36159,-0.215369,
2.91,1.56253,0.110912,-0.200687,1.66319,-0.0802928,0.321035,1.66588,0.278742,0.30546,1.64462,0.341949,0.0579538,1.45375,0.361561,-0.213727,
2.94,1.56249,0.110931,-0.200681,1.66311,-0.0803119,0.32103,1.66587,0.278752,0.305464,1.64455,0.341961,0.0579884,1.45429,0.361905,-0.214102,
2.97,1.56244,0.110942,-0.200663,1.66304,-0.0803038,0.321051,1.66575,0.278692,0.305493,1.64452,0.341987,0.0580895,1.45375,0.362738,-0.214935,
3,1.56241,0.11097,-0.200652,1.66299,-0.0803447,0.321028,1.66573,0.278705,0.3055,1.64448,0.342031,0.0582499,1.45335,0.363225,-0.215467,
3.03,1.56208,0.111131,-0.200605,1.66286,-0.0803294,0.320994,1.66547,0.278843,0.305662,1.64416,0.342173,0.058496,1.45189,0.362094,-0.215547,
3.06,1.56198,0.111206,-0.200575,1.66281,-0.0803488,0.320996,1.66542,0.278815,0.305698,1.64404,0.342191,0.0585602,1.45103,0.362382,-0.215755,
3.09,1.56181,0.11127,-0.200537,1.66275,-0.0803783,0.320989,1.66527,0.278966,0.305678,1.64367,0.342154,0.0587316,1.44992,0.361555,-0.21534,
3.12,1.56177,0.111308,-0.200537,1.66272,-0.0804014,0.320964,1.66519,0.278905,0.305704,1.64358,0.34216,0.0588303,1.45011,0.361262,-0.215677,
3.15,1.56169,0.111424,-0.20055,1.66267,-0.0803637,0.320884,1.66506,0.278788,0.305757,1.64337,0.342147,0.0589425,1.45033,0.36036,-0.213418,
3.18,1.56162,0.111474,-0.200551,1.66265,-0.0803747,0.320876,1.66496,0.278692,0.305771,1.64312,0.342067,0.0589439,1.45045,0.359836,-0.214222,
3.21,1.56153,0.111559,-0.200527,1.66263,-0.0803786,0.320871,1.66493,0.278662,0.305799,1.64291,0.341995,0.0589875,1.45199,0.360217,-0.214338,
3.24,1.56147,0.11158,-0.200523,1.66263,-0.08038,0.32087,1.6649,0.278628,0.305848,1.64285,0.341969,0.0591312,1.45159,0.360152,-0.214171,
3.27,1.56143,0.111607,-0.200513,1.66263,-0.0803811,0.32087,1.66489,0.278605,0.305857,1.64283,0.341956,0.0591578,1.45182,0.360316,-0.21484,
3.3,1.56127,0.111644,-0.200439,1.66263,-0.0802482,0.320771,1.66488,0.278805,0.30598,1.64275,0.341833,0.0593765,1.45101,0.359677,-0.214727,
3.33,1.56117,0.111674,-0.200399,1.6626,-0.0802608,0.320769,1.66482,0.278927,0.306001,1.64264,0.341744,0.0594015,1.45089,0.359749,-0.215002,
3.36,1.56116,0.111681,-0.200393,1.66259,-0.0802602,0.320769,1.6648,0.278904,0.306004,1.64256,0.341688,0.0594491,1.45079,0.359155,-0.215399,
3.39,1.56108,0.11174,-0.200387,1.66255,-0.0801758,0.320719,1.66457,0.278639,0.306148,1.6425,0.341654,0.0594484,1.45109,0.358578,-0.214209,
3.42,1.56095,0.111806,-0.200331,1.66251,-0.080124,0.320687,1.66455,0.278738,0.306175,1.6423,0.341546,0.0595001,1.45168,0.35876,-0.21454,
3.45,1.56093,0.111824,-0.200306,1.66246,-0.0801748,0.320677,1.66457,0.278853,0.306197,1.64225,0.341499,0.0594905,1.45201,0.358976,-0.214225,
3.48,1.56071,0.111855,-0.200228,1.66236,-0.08009,0.320656,1.66438,0.278736,0.306434,1.64209,0.341467,0.0594227,1.4513,0.359541,-0.214703,
3.51,1.56058,0.111863,-0.200186,1.66235,-0.0801016,0.320663,1.66438,0.278726,0.306442,1.64196,0.341425,0.0595532,1.45153,0.358705,-0.215329,
3.54,1.56043,0.111879,-0.200115,1.66232,-0.0801467,0.320672,1.66429,0.278983,0.306489,1.64178,0.341495,0.0594458,1.45121,0.359048,-0.215264,
3.57,1.56032,0.111898,-0.200087,1.66231,-0.0801454,0.320682,1.66429,0.278979,0.306493,1.64171,0.341515,0.0594547,1.4504,0.359122,-0.214808,
3.6,1.56023,0.111921,-0.20006,1.66226,-0.0801543,0.320674,1.66417,0.279068,0.306488,1.64156,0.341516,0.0594569,1.44974,0.359481,-0.215324,
3.63,1.56007,0.11198,-0.200015,1.66225,-0.0801595,0.320696,1.66413,0.279049,0.306448,1.64102,0.341598,0.0591831,1.44842,0.359504,-0.215314,
3.66,1.56,0.112019,-0.199999,1.66225,-0.0801603,0.320698,1.66401,0.279169,0.306475,1.64093,0.34164,0.0591886,1.44891,0.359947,-0.213422,
3.69,1.55994,0.112053,-0.200016,1.66216,-0.0800698,0.32064,1.66376,0.27918,0.306405,1.64083,0.341686,0.0592004,1.4489,0.360259,-0.213307,
3.72,1.55987,0.112077,-0.200033,1.66211,-0.0800846,0.320626,1.66374,0.279158,0.306399,1.64066,0.341736,0.0591975,1.44873,0.360174,-0.213295,
3.75,1.55984,0.112099,-0.20004,1.66209,-0.0801058,0.320624,1.6636,0.279302,0.306367,1.64058,0.341779,0.0592314,1.44911,0.361634,-0.213172,
3.78,1.55983,0.112105,-0.20005,1.66207,-0.0801313,0.320631,1.6636,0.27928,0.306365,1.64056,0.341827,0.059283,1.44855,0.361789,-0.213648,
3.81,1.55982,0.112109,-0.200049,1.66198,-0.0799309,0.320668,1.66354,0.279334,0.306366,1.64053,0.341891,0.059306,1.44921,0.362372,-0.213616,
3.84,1.5598,0.112132,-0.20009,1.6619,-0.0797529,0.320638,1.66323,0.279177,0.306365,1.64054,0.341996,0.0593974,1.44864,0.36288,-0.213777,
3.87,1.55982,0.112163,-0.200114,1.66189,-0.0797599,0.320639,1.66324,0.279158,0.306363,1.64063,0.342098,0.0595789,1.44869,0.363562,-0.214003,
