Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
3.15,1.07803,-1.76396,-0.014001,0.00573089,0.0133302,-0.0058616,1.23263,0.345548,0.00825013,-0.0130894,0,0,
3.18,1.07761,-1.76379,-0.0136131,0.00556023,0.0129312,-0.00568892,1.23288,0.345155,0.00801012,-0.0127396,0,0,
3.21,1.0772,-1.76362,-0.0132367,0.00539458,0.0125443,-0.00552135,1.23312,0.344773,0.00777747,-0.0124,0,0,
3.24,1.07681,-1.76346,-0.0128717,0.00523382,0.012169,-0.00535871,1.23335,0.3444,0.00755193,-0.0120705,0,0,
3.27,1.07642,-1.7633,-0.0125175,0.0050778,0.011805,-0.00520085,1.23358,0.344038,0.0073333,-0.0117507,0,0,
3.3,1.07604,-1.76315,-0.012174,0.00492637,0.0114519,-0.00504762,1.2338,0.343686,0.00712135,-0.0114402,0,0,
3.33,1.07568,-1.763,-0.0118407,0.0047794,0.0111094,-0.00489887,1.23401,0.343342,0.00691586,-0.011139,0,0,
3.36,1.07532,-1.76286,-0.0115174,0.00463677,0.0107771,-0.00475447,1.23422,0.343008,0.00671665,-0.0108466,0,0,
3.39,1.07498,-1.76272,-0.0112037,0.00449834,0.0104549,-0.00461428,1.23442,0.342683,0.00652352,-0.0105629,0,0,
3.42,1.07464,-1.76259,-0.0108995,0.004364,0.0101422,-0.00447819,1.23462,0.342366,0.00633627,-0.0102875,0,0,
3.45,1.07431,-1.76246,-0.0106043,0.00423361,0.00983901,-0.00434608,1.23481,0.342057,0.00615472,-0.0100203,0,0,
3.48,1.074,-1.76233,-0.0103179,0.00410708,0.00954486,-0.00421782,1.23499,0.341757,0.0059787,-0.00976097,0,0,
3.51,1.07369,-1.76221,-0.0100402,0.00398428,0.00925953,-0.00409332,1.23517,0.341464,0.00580804,-0.0095093,0,0,
3.54,1.07339,-1.76209,-0.00977067,0.0038651,0.00898274,-0.00397245,1.23535,0.341178,0.00564256,-0.00926506,0,0,
3.57,1.07309,-1.76197,-0.00950924,0.00374945,0.00871425,-0.00385511,1.23552,0.3409,0.00548212,-0.00902805,0,0,
3.6,1.07281,-1.76186,-0.00925563,0.00363722,0.00845379,-0.00374121,1.23568,0.34063,0.00532655,-0.00879805,0,0,
3.63,1.07253,-1.76175,-0.00900959,0.0035283,0.00820114,-0.00363064,1.23584,0.340366,0.0051757,-0.00857485,0,0,
3.66,1.07226,-1.76164,-0.00877091,0.0034226,0.00795605,-0.00352331,1.23599,0.340108,0.00502942,-0.00835825,0,0,
3.69,1.072,-1.76154,-0.00853936,0.00332002,0.0077183,-0.00341912,1.23615,0.339858,0.00488759,-0.00814807,0,0,
3.72,1.07174,-1.76144,-0.00831473,0.00322048,0.00748767,-0.00331798,1.23629,0.339613,0.00475005,-0.0079441,0,0,
3.75,1.07149,-1.76134,-0.00809681,0.00312389,0.00726394,-0.00321981,1.23643,0.339375,0.00461669,-0.00774618,0,0,
3.78,1.07125,-1.76125,-0.00788541,0.00303015,0.00704691,-0.00312452,1.23657,0.339142,0.00448736,-0.00755411,0,0,
