Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
2.04,1.58681,0.0618873,-0.208698,1.67182,-0.114821,0.32276,1.69812,0.241,0.302091,1.68967,0.309394,0.061308,1.48844,0.401498,-0.225352,
2.07,1.58702,0.0618483,-0.208751,1.67182,-0.114941,0.32274,1.69836,0.240922,0.302033,1.68986,0.309341,0.0612152,1.48684,0.40188,-0.224526,
2.1,1.5871,0.0618575,-0.208779,1.6718,-0.114998,0.322692,1.69846,0.240885,0.302056,1.68987,0.30931,0.0612082,1.48626,0.402432,-0.223711,
2.13,1.5872,0.0618784,-0.20882,1.67179,-0.115078,0.322715,1.69849,0.240842,0.302072,1.68988,0.309291,0.0612104,1.48544,0.401883,-0.223503,
2.16,1.5873,0.0618516,-0.208787,1.67186,-0.115124,0.322773,1.69858,0.240821,0.302103,1.68992,0.309286,0.0612159,1.48558,0.401908,-0.223516,
2.19,1.58746,0.0618637,-0.208789,1.67192,-0.115381,0.322917,1.69863,0.240755,0.30211,1.69003,0.309221,0.0615041,1.48605,0.402692,-0.219217,
2.22,1.58746,0.0618637,-0.208789,1.67179,-0.115339,0.322963,1.6986,0.240735,0.302109,1.68999,0.309194,0.0615959,1.48257,0.401919,-0.218861,
2.25,1.58747,0.0618671,-0.208794,1.67152,-0.115428,0.323155,1.69857,0.240706,0.302122,1.68996,0.309243,0.0617248,1.48134,0.405329,-0.219157,
2.28,1.58748,0.0618795,-0.208818,1.67119,-0.115437,0.323228,1.69854,0.240688,0.302114,1.68993,0.309323,0.0617604,1.48027,0.40466,-0.215501,
2.31,1.58745,0.06191,-0.208841,1.67048,-0.115226,0.323491,1.69852,0.240708,0.302165,1.68998,0.309633,0.0621885,1.48103,0.409103,-0.214087,
2.34,1.58744,0.0619218,-0.208867,1.66997,-0.115107,0.323657,1.69842,0.240659,0.302237,1.69,0.309867,0.0624802,1.48136,0.413037,-0.214861,
2.37,1.58745,0.0619517,-0.208888,1.6697,-0.114974,0.323727,1.69838,0.240658,0.302329,1.69013,0.310265,0.0628784,1.48092,0.412533,-0.213386,
2.4,1.58746,0.0619968,-0.208887,1.66942,-0.11474,0.323915,1.69839,0.240709,0.30251,1.69024,0.310598,0.0632417,1.48204,0.413566,-0.21194,
2.43,1.58763,0.0621848,-0.208882,1.66907,-0.114718,0.324086,1.69853,0.240911,0.302936,1.69063,0.311252,0.0639872,1.48257,0.413288,-0.211742,
2.46,1.58765,0.0622174,-0.208895,1.66862,-0.114506,0.324239,1.69849,0.240904,0.303015,1.69073,0.311361,0.0641642,1.48189,0.412656,-0.211595,
2.49,1.58773,0.0623237,-0.208885,1.66822,-0.114255,0.32437,1.69843,0.240943,0.303211,1.69097,0.311626,0.0644775,1.48217,0.412404,-0.210571,
2.52,1.58776,0.0623834,-0.208863,1.66807,-0.114257,0.324458,1.69838,0.240985,0.303383,1.69107,0.311856,0.0646505,1.48163,0.412253,-0.210492,
2.55,1.58783,0.0624748,-0.208791,1.66793,-0.114206,0.324506,1.69839,0.241222,0.303823,1.69117,0.312129,0.0648669,1.48208,0.412512,-0.209416,
2.58,1.5879,0.0626152,-0.20871,1.66764,-0.113929,0.324662,1.69826,0.241583,0.30465,1.6911,0.312764,0.0652567,1.47916,0.413446,-0.208943,
2.61,1.58802,0.0626971,-0.208681,1.66761,-0.113895,0.324659,1.69823,0.241629,0.304706,1.69119,0.313057,0.0654014,1.47894,0.413935,-0.209213,
2.64,1.58803,0.062701,-0.208664,1.66755,-0.113776,0.324629,1.6982,0.24172,0.304772,1.69104,0.313279,0.0655753,1.47758,0.410545,-0.208673,
2.67,1.58806,0.062817,-0.208633,1.66746,-0.113622,0.324629,1.69801,0.241928,0.305041,1.68998,0.313474,0.066012,1.47455,0.407081,-0.21037,
2.7,1.58809,0.0629092,-0.208621,1.66746,-0.113524,0.324626,1.69803,0.241999,0.30511,1.68955,0.31349,0.0661085,1.47443,0.405245,-0.209597,
2.73,1.58814,0.0630055,-0.208603,1.6675,-0.113503,0.32461,1.69801,0.242081,0.305152,1.6892,0.313502,0.066039,1.47384,0.403662,-0.210831,
2.76,1.58818,0.0630725,-0.208614,1.66754,-0.113431,0.324587,1.698,0.242113,0.305108,1.6889,0.313493,0.0659604,1.47273,0.404104,-0.21202,
