Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
4.11,1.67814,0.0693092,-0.23079,1.79437,-0.100577,0.275618,1.80125,0.262666,0.260274,1.75554,0.312519,0.00143476,1.55613,0.319858,-0.27192,
4.14,1.67814,0.0692684,-0.230789,1.79422,-0.100591,0.275691,1.80112,0.26268,0.260288,1.75541,0.31256,0.00151932,1.55505,0.323559,-0.271753,
4.17,1.67814,0.0692672,-0.230787,1.79413,-0.10058,0.275708,1.80113,0.262741,0.260262,1.75533,0.312606,0.00152016,1.55452,0.323938,-0.271809,
4.2,1.6782,0.0692339,-0.230787,1.79412,-0.100521,0.275761,1.80112,0.262749,0.260281,1.75529,0.312718,0.00141982,1.55454,0.323701,-0.272886,
4.23,1.67821,0.0692313,-0.23078,1.79408,-0.100467,0.275816,1.80113,0.262803,0.260266,1.75526,0.312752,0.00143897,1.55391,0.322891,-0.272851,
4.26,1.67822,0.0692304,-0.230777,1.79406,-0.100457,0.275822,1.80111,0.26282,0.260262,1.75516,0.312836,0.00156784,1.55405,0.32331,-0.273041,
4.29,1.67819,0.0692385,-0.230776,1.79386,-0.100367,0.275855,1.80095,0.262871,0.260156,1.75496,0.312973,0.00139525,1.55294,0.323024,-0.272804,
4.32,1.67819,0.0692397,-0.230777,1.79363,-0.100283,0.275933,1.80077,0.263026,0.260047,1.75486,0.313034,0.00136328,1.55301,0.322553,-0.275194,
4.35,1.67819,0.0692484,-0.230765,1.79361,-0.100275,0.275962,1.80073,0.263014,0.260025,1.75486,0.313035,0.00136529,1.55315,0.322683,-0.275352,
4.38,1.6782,0.0692479,-0.230764,1.7936,-0.100254,0.27597,1.80072,0.263068,0.260044,1.75473,0.313189,0.000933279,1.5536,0.32288,-0.276833,
4.41,1.67819,0.0692772,-0.230766,1.7936,-0.100256,0.275969,1.80072,0.263092,0.260034,1.75472,0.313232,0.000738908,1.55478,0.322585,-0.277592,
4.44,1.67817,0.0693011,-0.230747,1.79359,-0.100248,0.275965,1.8007,0.26316,0.259898,1.75469,0.313362,-3.9669e-05,1.55463,0.321322,-0.279147,
4.47,1.67817,0.069321,-0.230747,1.79358,-0.100226,0.275949,1.79948,0.26048,0.261913,1.75468,0.313472,-0.000203152,1.55497,0.321507,-0.279809,
4.5,1.67817,0.0693319,-0.230748,1.79357,-0.100195,0.275953,1.79967,0.260835,0.261636,1.75467,0.313522,-0.000506123,1.55525,0.32199,-0.279507,
4.53,1.67817,0.0693323,-0.230738,1.79355,-0.100174,0.275996,1.79966,0.260942,0.261541,1.7547,0.313486,-0.000436805,1.55485,0.321633,-0.278898,
4.56,1.67817,0.0693324,-0.23076,1.7935,-0.100175,0.275974,1.79959,0.261021,0.261418,1.75469,0.313505,-0.000562715,1.555,0.321344,-0.279198,
4.59,1.67818,0.0693347,-0.230755,1.79349,-0.100157,0.275915,1.79972,0.261201,0.261308,1.75469,0.31349,-0.000537477,1.55481,0.32163,-0.279538,
4.62,1.67816,0.069331,-0.230747,1.79353,-0.100091,0.275937,1.80004,0.261752,0.260821,1.7548,0.313523,-0.000687006,1.55533,0.321564,-0.279599,
4.65,1.67819,0.0693051,-0.230751,1.79359,-0.100052,0.275933,1.80018,0.261844,0.260793,1.75483,0.313543,-0.000739154,1.5552,0.321136,-0.279109,
4.68,1.67819,0.0692999,-0.230765,1.79357,-0.100007,0.275929,1.8002,0.261927,0.260591,1.75482,0.313551,-0.00076519,1.55508,0.320651,-0.278568,
